Base nr,Average PHRED value
0,2.0
1,17.5
2,28.0
3,35.0
4,36.0
5,37.0
6,37.0
7,37.0
8,38.0
9,39.0
10,39.0
11,39.0
12,38.5
13,40.5
14,40.5
15,40.5
16,40.0
17,40.5
18,40.5
19,36.0
20,38.5
21,40.0
22,39.0
23,39.5
24,39.5
25,40.5
26,34.5
27,37.5
28,39.5
29,40.0
30,40.5
31,40.5
32,40.0
33,40.5
34,2.0
35,8.5
36,2.0
37,2.0
38,2.0
39,2.0
40,13.5
41,2.0
42,13.5
43,21.5
44,26.5
45,32.0
46,36.5
47,39.0
48,40.0
49,40.5
50,40.5
51,39.5
52,39.5
53,39.5
54,19.5
55,2.0
56,2.0
57,6.5
58,16.0
59,19.0
60,29.0
61,34.0
62,31.5
63,32.0
64,36.0
65,37.0
66,36.0
67,36.0
68,36.0
69,36.0
70,34.5
71,34.5
72,35.5
73,32.5
74,34.5
75,31.5
76,34.0
77,34.5
78,34.5
79,35.5
80,34.5
81,35.5
82,34.5
83,34.5
84,34.0
85,34.0
86,34.5
87,34.0
88,34.0
89,34.0
90,34.0
91,34.5
92,34.5
93,34.5
94,34.5
95,34.0
96,34.0
97,34.5
98,34.0
99,34.0
100,31.0
